year_aired,imdb,monster_real,title
1981,7.4,real,Lighthouse Keeper Scooby
1981,7.4,real,Scooby's Roots
1981,7.2,real,Scooby's Escape from Atlantis
1981,7.2,real,Excalibur Scooby
1981,7.1,real,Scooby Saves the World
1981,7.1,real,Rickshaw Scooby
1981,7.2,real,Scooby's Luck of the Irish
1981,7.1,real,Scooby's House of Mystery
1981,7.1,fake,Sweet Dreams Scooby
1981,7.1,real,Scooby-Doo 2000
1981,7.1,real,Punk Rock Scooby
1981,7.4,real,Canine to Five
1981,7.1,real,Hard Hat Scooby
1981,7.1,real,Hothouse Scooby
1981,7.1,real,Tenderbigfoot
1981,7.1,real,Scooby and the Beanstalk
1982,7.1,fake,Catfish Burglar Caper
1982,7.3,real,Movie Monster Menace
1982,7.4,fake,Comic Book Caper
1982,7.1,real,Scooby-Doo and Genie-Poo
1982,7.2,real,Close Encounter of the Worst Kind
1982,7.2,fake,Captain Canine Caper
1982,7,fake,The Incredible Cat Lady Caper
1982,7.1,real,One Million Years Before Lunch
1982,7.4,real,Where's the Wolf
1982,6.8,fake,Snow Job Too Small
1983,7.4,fake,Scooby the Barbarian
1983,7.4,fake,No Sharking Zone
1983,7.5,real,Scoobygeist
1983,7.5,fake,The Quagmire Quake Caper
1983,7.5,fake,Hound of the Scoobyvilles
1983,7.5,fake,The Dinosaur Deception
1983,7.7,fake,The Creature Came from The Chemlab
1983,7.7,fake,"No Thanks, Masked Manx"
1983,7.2,fake,Scooby of the Jungle
1983,7.2,fake,"Scooby-Doo and Cyclops, Too"
1983,7.5,fake,Scooby Roo
1983,7.3,real,Wizards and Warlocks
1983,7.3,fake,Scoobsie
1983,7.1,fake,The Crazy Carnival Caper
1983,7.4,fake,Scooby and the Minotaur
1983,7.4,fake,Scooby Pinch Hits
1983,7.2,fake,The Fall Dog
1983,7.2,fake,The Scooby Coupe
1983,6.5,real,Who's Minding the Monster
1983,6.5,fake,Scooby ala Mode
1983,6.5,fake,Where's Scooby-Doo?
1983,6.5,fake,Wedding Bell Boos!
1984,7.2,fake,"Happy Birthday, Scooby-Doo"
1984,7.2,fake,Scooby's Peep-Hole Pandemonium
1984,7.2,fake,The Hand of Horror
1984,7.5,fake,Scoo-Be or Not Scoo-Be?
1984,7.5,fake,The Stoney Glare Stare
1984,7,fake,Mission: Un-Doo-Able
1984,7,fake,The Bee Team
1984,7.1,fake,Doom Service
1984,6.9,fake,Ghost of the Ancient Astronauts
1984,7.2,fake,The Night of Living Toys
1984,7.2,fake,South Pole Vault
1984,8,fake,A Halloween Hassle at Dracula's Castle
1984,7.5,fake,A Night Louse at the White House
1984,7.3,fake,Showboat Scooby
1984,7.6,fake,Sherlock Doo
1984,7,fake,A Scarey Duel with a Cartoon Ghoul
1984,7,fake,E*I*E*I*O
1984,7.9,fake,The Nutcracker Scoob
1985,7.7,real,To All the Ghouls I've Loved Before
1985,7.6,real,Scoobra Kadoobra
1985,7.3,real,Me and My Shadow Demon
1985,7.2,real,Reflections in the Ghoulish Eye
1985,7.9,real,That's Monstertainment
1985,7.5,real,Ship of Ghouls
1985,7.6,real,A Spooky Little Ghoul Like You
1985,7.1,real,When You Witch Upon a Star
1985,7.4,real,It's a Wonderful Scoob
1985,7.7,real,Scooby in Kwacky Land
1985,7.4,real,Coast-to-Ghost
1985,7.4,real,The Ghouliest Show on Earth
1985,7.4,real,Horror-Scope Scoob
1987,7.1,fake,Scooby-Doo Meets the Boo Brothers
1988,7.3,fake,A Bicycle Built for Boo
1988,7.5,fake,The Sludge Monster from the Earth's Core
1988,8,fake,The Schnoock Who Took My Comic Book
1988,7.5,fake,Wanted Cheddar Alive
1988,7.4,fake,For Letter or Worse
1988,7.6,fake,The Babysitter from Beyond
1988,6.9,real,Scooby-Doo and the Ghoul School
1988,7.8,fake,Snow Place Like Home
1988,7.7,fake,"Now Museum, Now You Don't"
1988,7,fake,Scooby Dude
1988,7.5,fake,Ghost Who's Coming to Dinner
1988,6.9,real,Scooby-Doo! and the Reluctant Werewolf
1988,6.9,fake,The Story Stick
1988,7.2,fake,Robopup
1988,7.5,fake,Lights...Camera...Monster
1989,7.7,fake,Curse of the Collar
1989,7.7,fake,The Return of Commander Cool
1989,7.8,fake,The Spirit of Rock'n Roll
1989,7.5,fake,Chickenstein Lives
1989,7.6,fake,Night of the Living Burger
1989,7.7,fake,The Computer Walks Among Us
1989,7.8,fake,"Terror, Thy Name is Zombo"
1990,7.1,fake,Night of the Boogey Biker
1990,7.1,fake,Dawn of the Spooky Shuttle Scare
1990,6.9,fake,Horror of the Haunted Hairpiece
1990,7.2,fake,Wrestle Maniacs
1991,7.2,fake,The Were-Doo of Doo Manor
1991,6.6,fake,The Ghost of Mrs. Shusham
1991,7.2,fake,Mayhem of the Moving Mollusk
1997,8.4,fake,Bravo Dooby-Doo
1998,7.8,real,Scooby-Doo on Zombie Island
1999,7.3,real,Scooby-Doo and the Witch's Ghost
1999,7.4,fake,The Scooby-Doo Project
2000,6.9,fake,Scooby-Doo and the Alien Invaders
2001,7,real,Scooby-Doo and the Cyber Chase
2001,7.2,fake,Night of the Living Doo
2002,5.1,real,Scooby-Doo
2002,8.1,fake,Shaggy Busted
2002,7.5,fake,There's No Creature Like Snow Creature
2002,7.4,fake,3-D Struction
2002,7.6,fake,Space Ape and the Cape
2002,7.7,fake,Big Scare in the Big Easy
2002,7.6,fake,"It's Mean, It's Green, It's the Mystery Machine"
2002,7.5,fake,Riva Ras Regas
2002,7.7,fake,Roller Ghoster Ride
2002,7.1,fake,"Safari, So Goodie!"
2002,7.1,fake,She Sees Sea Monsters by the Sea Shore
2002,7.5,fake,A Scooby-Doo! Christmas
2003,7.7,fake,Toy Scary Boo
2003,7.5,fake,Lights! Camera! Mayhem!
2003,7.1,fake,Pompii and Circumstance
2003,6.6,fake,Scooby-Doo! and the Legend of the Vampire
2003,7.3,fake,The Unnatural
2003,7.2,fake,Big Appetite in Little Tokyo
2003,7.6,fake,Mummy Scares Best
2003,7.4,fake,The Fast and the Wormious
2003,6.5,fake,Scooby-Doo! and the Monster of Mexico
2003,7.5,real,High-Tech House of Horrors
2003,7.4,fake,The Vampire Strikes Back
2003,7.6,fake,A Scooby-Doo Halloween
2003,7.2,fake,Homeward Hound
2004,7.3,fake,The San Franpsycho
2004,7.5,fake,Simple Plan and the Invisible Madman
2004,7.5,fake,Recipe for Disaster
2004,7.5,fake,Large Dragon at Large
