id,adjusted,age,bmi,cohort1,cohort2,cohort3,cohort4,endurancecat,endurancespeed,female,footwear,group,injury,k5_d,k5_di,k5_ti,k5_ti_adj,k5_tr,k10_d,k10_di,k10_ti,k10_ti_adj,k10_tr,m5_d,m5_di,m5_ti,m5_ti_adj,m5_tr,m10_d,m10_di,m10_ti,m10_ti_adj,m10_tr,mh_d,mh_di,mh_ti,mh_ti_adj,mh_tr,mf_d,mf_di,mf_ti,mf_ti_adj,mf_tr,max,sprint,tempo,typical,model1_time,model2_time
91,1,25,24.95965385,1,1,1,1,3,7,1,1,2,1,5000,4,1478,1488.463623,3,,,,,,,,,,,,,,,,21097.5,3,7200,7199.999512,2,42195,3,14985,14984.99902,2,45,1,0,35,,
92,1,32,21.5213356,,,,,2,3,0,2,2,2,,,,,,10000,2,2945,2923.854004,3,,,,,,,,,,,21097.5,2,6191,6130.558594,2,,,,,,20,1,1,10,,
93,1,17,22.26345062,,,,,2,4,0,1,3,1,,,,,,10000,4,1813,1839.029053,1,,,,,,,,,,,21097.5,3,4015,4015,1,,,,,,90,1,1,70,,
94,1,33,21.70465088,,,,,1,2,1,2,1,2,,,,,,10000,3,3360,3360,2,,,,,,16090,3,5520,5520,3,,,,,,,,,,,30,1,1,15,,
95,1,30,18.32382584,,,,,1,2,1,2,3,1,5000,3,1680,1680,3,,,,,,,,,,,,,,,,21097.5,2,7200,7118.381836,2,,,,,,10,0,1,15,,
96,1,28,19.92750168,1,,1,,2,4,1,2,3,3,5000,4,1105,1110.838135,1,10000,4,2365,2409.486572,2,,,,,,,,,,,,,,,,42195,2,12151,12098.51074,2,55,0,0,35,200.7933044,206.0615082
97,1,56,20.57555008,,,,,1,2,0,1,2,1,5000,4,1080,1085.576294,2,10000,2,2261,2248.515137,2,,,,,,16090,4,3659,3775.606689,2,,,,,,,,,,,60,0,1,55,,
98,1,30,24.24242401,,,,,1,2,1,2,1,1,5000,3,1116,1116,2,,,,,,8045,4,1825,1891.505981,1,,,,,,,,,,,,,,,,55,1,1,50,,
99,1,28,22.19460106,,,,,2,4,1,2,2,2,5000,2,1401,1358.023071,2,10000,4,2892,2958.801514,2,,,,,,,,,,,21097.5,2,6692,6621.436523,2,,,,,,22,0,0,18,,
100,1,43,25.24778557,1,,1,,2,4,0,2,2,1,5000,4,1490,1500.634766,2,10000,4,3242,3326.184326,2,,,,,,,,,,,,,,,,42195,3,17400,17400,2,36,0,1,28,,
101,1,64,27.45825768,,,,,1,1,0,2,1,2,5000,2,1590,1534.873657,3,10000,3,3568,3568,3,,,,,,,,,,,,,,,,,,,,,30,0,0,25,,
102,1,32,24.73716545,,,,,2,3,1,2,3,1,5000,3,2100,2100,3,,,,,,,,,,,,,,,,21097.5,3,7800,7800,3,,,,,,20,0,0,12,,
103,1,26,19.86567116,1,1,,,1,2,1,2,2,1,5000,5,1026,,2,,,,,,,,,,,,,,,,21097.5,3,4798,4798,1,42195,2,10461,10422.07324,1,94,1,1,75,,
104,1,33,30.18465805,,,,,2,5,1,2,2,2,,,,,,,,,,,,,,,,16090,3,7862,7861.999512,2,21097.5,2,11197.5,11001.32715,3,,,,,,30,0,0,20,,
105,1,25,22.91344261,,,,,3,7,0,2,3,1,5000,3,1324,1324,2,,,,,,8045,2,2285,2216.409668,2,16090,1,5099,,2,,,,,,,,,,,28,1,0,20,,
106,1,37,25.23191071,,,,,3,6,0,2,2,2,5000,4,1305,1313.150757,2,10000,3,2925,2925,2,,,,,,16090,3,4625,4625,2,,,,,,,,,,,42,1,1,30,,
107,1,24,24.93506622,,,,,3,7,0,2,2,1,5000,3,1080,1080,2,,,,,,,,,,,,,,,,21097.5,2,5330,5285.140625,2,,,,,,30,1,1,35,,
108,1,29,22.69515038,,,,,1,2,1,2,3,2,,,,,,,,,,,8045,2,2325,2254.024414,4,,,,,,21097.5,4,5790,5949.745117,2,,,,,,40,1,1,35,,
109,1,30,20.57555008,1,1,1,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,16090,3,4279,4279,1,21097.5,3,5751,5751,2,42195,4,12719,12878.16113,2,72,1,1,40,,
110,1,36,24.34137344,1,,,,3,8,0,2,3,1,,,,,,10000,4,2420,2466.600098,2,,,,,,16090,1,4024,,1,,,,,,42195,3,13530,13530.00098,2,51,1,1,35,205.0185852,
111,1,34,25.23191071,,,,,2,5,0,2,2,1,5000,3,1382,1382,2,,,,,,8045,3,2475,2475,2,,,,,,,,,,,,,,,,5,0,0,15,,
112,1,34,23.08238602,,,,,3,8,1,1,3,1,5000,4,1315,1323.276489,2,,,,,,,,,,,,,,,,21097.5,4,6730,6946.79541,1,,,,,,40,1,1,30,,
113,1,34,27.51718903,1,,1,,2,3,0,2,2,1,5000,4,1275,1282.779175,2,10000,3,2946,2946,3,,,,,,,,,,,,,,,,42195,3,14939,14939,2,43,0,1,32,,
114,1,40,28.44444466,1,1,1,1,1,1,0,2,1,1,5000,4,1139,1145.203979,2,,,,,,,,,,,,,,,,21097.5,3,5370,5370,3,42195,4,11611,11743.49414,2,82,1,1,65,,
115,1,38,23.37423897,1,1,1,1,2,3,1,2,2,2,,,,,,10000,3,3045,3045,2,,,,,,,,,,,21097.5,3,6610,6610,2,42195,3,13690,13690,2,35,0,0,20,,
116,1,38,25.36688995,,,,,2,3,0,2,2,2,5000,4,1662,1675.242798,3,,,,,,,,,,,,,,,,21097.5,2,7556,7466.161621,1,,,,,,42,1,1,30,,
117,1,27,22.84372139,,,,,1,2,1,2,1,1,5000,4,1457,1467.167358,2,,,,,,,,,,,16090,3,5297,5297,2,21097.5,4,7142,7386.634277,1,,,,,,50,1,1,35,,
118,1,36,28.94248581,,,,,2,3,1,2,1,1,,,,,,,,,,,8045,3,4200,4200,2,,,,,,21097.5,2,10851,10666.68066,2,,,,,,15,0,0,10,,
119,1,33,22.72189331,,,,,2,3,1,2,3,2,,,,,,10000,4,3325,3413.608887,3,,,,,,,,,,,21097.5,3,7060,7060,2,,,,,,37,0,1,30,,
120,1,37,23.84960938,1,,,,2,3,0,2,3,1,5000,4,1213,1220.038818,2,,,,,,,,,,,,,,,,21097.5,1,5586,,1,42195,3,12566,12566,1,42,1,1,38,210.758667,
121,1,29,20.60606003,,,,,2,4,1,2,1,1,,,,,,10000,2,2700,2682.215576,2,8045,4,2100,2188.544922,2,,,,,,,,,,,,,,,,45,0,0,42,,
122,1,40,21.5213356,1,1,,,3,8,0,2,2,1,,,,,,,,,,,,,,,,,,,,,21097.5,3,4914,4914,2,42195,3,10698,10698,2,70,1,1,60,,
123,1,20,21.38588142,,,,,2,5,0,2,3,1,5000,4,918,922.0257568,2,,,,,,8045,3,1515,1515,1,,,,,,,,,,,,,,,,80,0,1,75,,
124,1,27,24.85795403,,,,,2,5,1,1,2,3,5000,4,1434,1443.847778,2,,,,,,8045,3,2411,2411,3,,,,,,,,,,,,,,,,17,1,1,17,,
125,1,45,27.21805,,,,,3,7,0,1,3,1,5000,3,1148,1148,1,,,,,,,,,,,,,,,,21097.5,4,5496,5639.73291,2,,,,,,55,1,1,45,,
126,1,33,21.3521862,1,1,1,1,2,3,0,2,1,1,,,,,,10000,4,2820,2883.480225,4,,,,,,,,,,,21097.5,2,5690,5638.904785,1,42195,3,13040,13040,2,40,1,1,30,,
127,1,27,32.07151031,,,,,2,3,0,2,2,1,5000,3,1574,1574,4,10000,2,3290,3263.631836,3,,,,,,,,,,,21097.5,3,6470,6470,2,,,,,,44,0,0,30,,
128,1,32,20.10368919,,,,,2,3,1,2,2,2,5000,3,1530,1530,2,,,,,,,,,,,,,,,,21097.5,4,6920,7149.417969,2,,,,,,30,1,1,26,,
129,1,54,21.70465088,1,1,,,2,3,0,2,1,1,,,,,,,,,,,,,,,,,,,,,21097.5,2,5804,5750.84668,2,42195,4,12641,12798.20313,2,52,0,0,50,,
130,1,33,26.66666603,,,,,1,2,1,2,2,1,5000,3,1652,1652,2,,,,,,,,,,,,,,,,21097.5,4,7740,8028.14209,1,,,,,,30,1,1,20,,
131,1,35,23.00556564,,,,,3,8,0,2,2,1,5000,4,1049,1054.26001,2,10000,2,2162,2150.581787,2,,,,,,,,,,,21097.5,2,4865,4827.599121,2,,,,,,70,1,1,60,,
132,1,60,22.44668961,,,,,3,6,0,2,1,2,,,,,,10000,3,2541,2541,2,,,,,,,,,,,21097.5,4,5835,5997.272949,2,,,,,,30,1,1,25,,
133,1,41,21.38588142,,,,,2,5,0,2,3,1,5000,3,1038,1038,2,,,,,,,,,,,16090,2,3912,3816.358398,2,,,,,,,,,,,55,0,1,50,,
134,1,38,23.80480194,1,1,,,1,2,0,1,3,1,,,,,,,,,,,,,,,,,,,,,21097.5,4,5880,6044.820313,1,42195,3,13860,13860,2,50,0,1,40,221.1950989,
135,1,29,18.63140297,1,1,1,1,2,3,1,2,3,1,5000,3,1210,1210,1,,,,,,,,,,,,,,,,21097.5,2,6255,6193.309082,2,42195,4,13632,13814.99512,2,51,1,1,45,223.5936584,223.9953918
136,1,38,20.45331764,,,,,3,8,1,1,1,1,5000,4,1337,1345.556641,2,,,,,,,,,,,,,,,,21097.5,2,6921,6845.55127,1,,,,,,25,1,1,25,,
137,1,31,24.37873268,1,,1,,2,5,0,1,3,1,5000,4,1197,1203.853882,2,,,,,,8045,3,2210,2210,1,,,,,,,,,,,42195,3,15420,15420,1,34,1,0,20,235.8619537,235.2708893
138,1,36,21.9292717,,,,,1,2,0,2,1,1,5000,2,1292,1255.362793,1,,,,,,,,,,,16090,1,2875,,2,21097.5,2,6090,6031.505371,1,,,,,,40,0,1,30,,
139,1,48,28.05836296,1,1,,,2,3,0,2,2,1,,,,,,,,,,,,,,,,,,,,,21097.5,4,6840,7064.058594,1,42195,3,18300,18300,2,30,0,0,25,,
140,1,25,22.86756706,,,,,2,3,0,2,3,1,5000,4,959,963.3942871,2,10000,3,1987,1987.000122,2,,,,,,,,,,,21097.5,5,4485,,3,,,,,,60,1,1,50,,
141,1,34,20.62209892,,,,,2,3,0,2,3,1,5000,4,1106,1111.848755,2,,,,,,,,,,,16090,4,3911,4044.514648,2,,,,,,,,,,,40,0,1,30,,
142,1,34,20.19801331,1,,1,,2,3,0,2,1,1,5000,4,1160,1166.435547,2,,,,,,,,,,,16090,2,3921,3824.922852,1,,,,,,42195,3,11453,11453,2,70,1,1,60,,
