id,adjusted,age,bmi,cohort1,cohort2,cohort3,cohort4,endurancecat,endurancespeed,female,footwear,group,injury,k5_d,k5_di,k5_ti,k5_ti_adj,k5_tr,k10_d,k10_di,k10_ti,k10_ti_adj,k10_tr,m5_d,m5_di,m5_ti,m5_ti_adj,m5_tr,m10_d,m10_di,m10_ti,m10_ti_adj,m10_tr,mh_d,mh_di,mh_ti,mh_ti_adj,mh_tr,mf_d,mf_di,mf_ti,mf_ti_adj,mf_tr,max,sprint,tempo,typical,model1_time,model2_time
575,1,42,21.23312569,1,,1,,1,2,0,2,2,1,5000,3,1052,1052,2,10000,3,2294,2294,3,,,,,,,,,,,,,,,,42195,3,10850,10850,3,45,0,1,25,,
576,1,40,25.11189079,1,1,1,1,2,3,0,2,1,3,,,,,,10000,3,2912,2912,2,,,,,,,,,,,21097.5,4,6268,6455.637207,2,42195,4,16080,16335.23633,2,55,1,1,45,,
577,1,37,20.86985588,,,,,2,3,1,2,1,2,,,,,,10000,4,3300,3387.263916,2,,,,,,,,,,,21097.5,2,7980,7879.863281,2,,,,,,18,0,0,12,,
578,1,29,21.640728,,,,,3,8,0,2,2,1,5000,4,907,910.9296875,1,10000,1,1920,,1,8045,2,1519,1488.380371,1,,,,,,,,,,,,,,,,80,1,1,70,,
579,1,47,24.70283508,1,,1,,3,6,0,2,1,3,5000,4,1069,1074.463013,1,10000,3,2341,2341,2,,,,,,,,,,,,,,,,42195,3,12720,12720,2,70,1,1,60,,
580,1,27,18.91262627,,,,,2,3,1,2,1,1,5000,4,1188,1194.750854,1,10000,4,2395,2440.633057,1,,,,,,,,,,,21097.5,3,5267,5267,1,,,,,,68,1,1,55,,
581,1,31,22.44668961,,,,,1,2,0,2,3,1,,,,,,,,,,,8045,4,1669,1724.449463,2,16090,4,3510,3617.164551,2,21097.5,4,4624,4725.320801,2,,,,,,73,1,1,60,,
582,1,30,22.01950264,1,,,,1,1,1,2,3,2,,,,,,10000,5,3308,,2,8045,2,3105,2979.697266,2,,,,,,,,,,,42195,3,18585,18585,1,30,1,0,25,303.372345,
583,1,38,22.07354355,,,,,3,6,0,2,3,1,5000,3,1218,1218,1,10000,4,2578,2630.950195,2,,,,,,,,,,,21097.5,4,5590,5738.757813,1,,,,,,48,1,1,35,,
584,1,30,23.74768066,1,1,1,1,1,2,0,1,3,1,5000,2,924,905.1086426,1,,,,,,,,,,,,,,,,21097.5,3,4304,4304,1,42195,4,9278,9362.405273,1,112,1,1,90,152.2937927,150.227829
585,1,33,25.11223602,1,1,,,1,1,0,3,1,1,,,,,,,,,,,,,,,,,,,,,21097.5,4,5560,5707.144531,1,42195,2,12555,12498.9707,1,55,1,1,50,,
586,1,27,23.08344269,,,,,2,3,0,3,2,1,5000,3,1620,1620,3,10000,3,3310,3310,3,,,,,,,,,,,,,,,,,,,,,25,0,0,15,,
587,1,28,26.7323513,1,1,1,1,2,5,0,2,1,1,5000,4,1130,1136.106079,1,,,,,,,,,,,,,,,,21097.5,3,5789,5789,2,42195,4,12536,12690.58594,2,48,0,0,35,,
588,1,30,25.54470444,,,,,2,3,0,1,1,1,5000,4,1440,1449.930664,3,,,,,,,,,,,16090,4,4440,4612.874023,2,,,,,,,,,,,30,0,0,16,,
589,1,33,22.68170738,,,,,2,3,0,2,2,1,,,,,,,,,,,,,,,,16090,3,4680,4680,2,21097.5,3,7020,7020.000488,4,,,,,,20,0,0,12,,
590,1,30,24.41077614,1,1,1,1,3,8,0,2,2,2,5000,4,968,972.4772949,2,,,,,,,,,,,,,,,,21097.5,4,4920,5034.869141,1,42195,2,10517,10477.65527,2,63,1,1,55,,
591,1,41,22.80591202,1,1,1,1,1,1,0,1,3,1,,,,,,10000,3,2173,2173,1,,,,,,,,,,,21097.5,3,4843,4843,1,42195,3,10065,10065,1,55,1,1,40,181.9641418,177.7867126
592,1,28,20.77414703,1,1,1,1,2,3,1,3,1,1,,,,,,10000,4,2401,2446.864258,1,,,,,,,,,,,21097.5,4,5305,5438.794434,1,42195,4,11190,11313.00879,1,91,1,1,79,,
593,1,37,26.69023323,,,,,3,7,0,3,3,2,5000,2,992,970.2584839,2,10000,2,2196,2184.220947,1,,,,,,16090,4,3321,3416.776855,1,,,,,,,,,,,60,1,1,50,,
594,1,30,19.17613602,1,,,,2,3,1,1,1,3,,,,,,,,,,,,,,,,16090,2,4440,4317.203613,2,,,,,,42195,2,13289,13226.24316,2,55,1,1,45,,
595,1,44,24.44100571,1,,,,2,4,0,2,1,1,,,,,,10000,4,2030,2062.688965,2,,,,,,,,,,,,,,,,42195,4,9518,9606.849609,2,108,1,1,100,,
596,1,36,23.56902504,,,,,1,2,0,2,1,1,,,,,,10000,3,2390,2390,2,,,,,,16090,3,4013,4013.000244,2,21097.5,3,5400,5400,2,,,,,,40,0,1,30,,
597,1,58,21.74523163,,,,,2,5,0,1,1,1,,,,,,,,,,,,,,,,16090,4,4145,4295.276367,1,21097.5,3,5607,5607,2,42195,5,11690,,1,75,1,1,66,,
598,1,41,19.47665596,1,1,,,1,2,0,1,2,2,,,,,,,,,,,,,,,,,,,,,21097.5,2,4990,4950.660156,2,42195,2,10579,10539.19043,2,61,0,1,45,,
599,1,19,21.70465088,,,,,2,4,0,2,2,2,5000,2,1070,1044.748535,3,10000,3,2414,2413.999756,2,,,,,,,,,,,,,,,,,,,,,40,1,1,28,,
600,1,26,20.25152397,,,,,3,7,1,1,3,2,5000,3,1710,1710,2,10000,3,4800,4800,1,,,,,,,,,,,,,,,,,,,,,20,1,0,15,,
601,1,37,24.48979568,1,1,1,1,2,3,0,2,1,1,5000,3,1276,1276,1,,,,,,,,,,,,,,,,21097.5,4,5788,5947.633301,1,42195,3,13027,13027,1,60,1,1,50,,
602,1,40,22.14966202,,,,,2,5,0,2,3,1,5000,4,1277,1284.803711,2,10000,3,2975,2975,3,,,,,,,,,,,,,,,,,,,,,30,1,0,25,,
603,1,35,20.47117615,,,,,1,1,0,2,3,1,5000,3,1246,1246,2,10000,2,2691,2673.333496,2,,,,,,,,,,,21097.5,2,5963,5906.908691,1,,,,,,35,1,1,30,,
604,1,28,22.68170738,1,1,1,1,2,3,0,1,2,1,,,,,,,,,,,,,,,,16090,2,3400,3327.523193,1,21097.5,4,4465,4559.401855,2,42195,4,9615,9705.679688,2,88,1,1,75,,
605,1,18,23.00556564,,,,,2,4,0,2,3,1,5000,2,1035,1011.355286,2,,,,,,,,,,,16090,2,4200,4089.955811,3,,,,,,,,,,,70,1,1,50,,
606,1,26,23.80480194,,,,,2,3,0,2,1,1,5000,2,1511,1461.129639,2,10000,4,3147,3226.262695,2,,,,,,,,,,,,,,,,,,,,,23,0,0,19,,
607,1,27,24.83564568,,,,,2,3,0,2,3,2,5000,3,1450,1450,2,,,,,,,,,,,,,,,,21097.5,2,7260,7177.023438,2,,,,,,24,1,0,20,,
608,1,51,25.21078491,1,1,1,1,1,2,0,2,3,2,,,,,,,,,,,,,,,,16090,3,4929,4929,2,21097.5,3,6646,6646,2,42195,3,14247,14247,2,50,1,1,35,242.7225037,243.9769745
609,1,24,20.34231186,,,,,2,3,0,1,3,2,,,,,,10000,3,2241,2241,1,,,,,,16090,4,3630,3744.736816,1,21097.5,2,5099,5057.929688,2,,,,,,35,1,1,30,,
610,1,27,28.0281086,,,,,1,2,0,1,3,1,5000,2,1357,1316.641235,2,,,,,,,,,,,,,,,,21097.5,3,7013,7013,2,,,,,,15,0,0,14,,
611,1,31,20.04040337,,,,,3,6,0,2,3,3,5000,3,1130,1130,3,,,,,,,,,,,,,,,,21097.5,2,4975,4935.895508,2,42195,1,10882,,2,40,1,1,31,,184.2948303
612,1,34,24.50284004,,,,,2,5,1,2,2,3,5000,3,1370,1370,2,,,,,,,,,,,16090,3,4650,4650,2,21097.5,1,6788,,2,,,,,,29,1,1,23,,
613,1,35,25.25252724,,,,,1,2,0,3,2,1,,,,,,10000,3,3096,3096,2,,,,,,,,,,,21097.5,3,6622,6622,2,,,,,,18,0,0,16,,
614,1,32,25.24751663,1,1,1,1,2,3,0,2,1,2,5000,2,1260,1225.130737,3,,,,,,,,,,,,,,,,21097.5,3,7320,7320,4,42195,3,11593,11593,2,50,1,1,22,,
615,1,23,21.15336418,,,,,3,7,0,2,2,1,5000,3,1129,1129,2,,,,,,,,,,,,,,,,21097.5,2,5460,5412.935059,2,,,,,,37,1,1,32,,
616,1,26,22.35768318,,,,,1,2,1,2,3,3,5000,3,1751,1751,3,10000,4,3541,3641.669678,2,,,,,,,,,,,21097.5,4,7965,8270.46875,2,,,,,,30,1,1,25,,
617,1,29,24.85795403,,,,,1,2,1,1,2,1,,,,,,,,,,,,,,,,16090,3,5481,5481,2,21097.5,4,7069,7308.574707,1,,,,,,29,0,1,20,,
618,1,23,22.11463737,,,,,1,2,0,2,2,1,5000,2,1261,1226.076172,3,10000,2,2460,2445.228027,2,,,,,,,,,,,,,,,,,,,,,10,0,1,25,,
619,1,35,23.80480194,,,,,2,3,0,2,2,1,5000,4,1170,1176.547241,2,,,,,,,,,,,,,,,,21097.5,4,5295,5428.28418,2,,,,,,30,0,1,25,,
620,1,19,21.24975014,,,,,2,3,0,2,3,3,5000,2,1020,997.0280762,2,,,,,,8045,4,1941,2016.403687,3,,,,,,21097.5,3,5230,5230,2,,,,,,55,1,1,40,,
621,1,35,30.57029152,,,,,1,2,0,2,3,1,,,,,,,,,,,,,,,,16090,4,5880,6187.069824,2,21097.5,3,8820,8820,2,,,,,,28,0,1,22,,
622,1,48,21.83948898,,,,,2,3,1,2,1,1,5000,4,1503,1513.821899,2,,,,,,,,,,,,,,,,21097.5,3,7149,7149,2,,,,,,30,0,1,25,,
623,1,32,21.87164688,,,,,2,3,1,2,1,1,,,,,,10000,2,3480,3450.511719,2,,,,,,,,,,,21097.5,3,7800,7800,2,,,,,,20,1,0,18,,
624,1,38,23.80480194,,,,,3,7,0,1,2,1,,,,,,10000,4,2294,2335.831787,2,8045,4,1862,1931.28125,2,,,,,,21097.5,3,4994,4994,1,,,,,,65,1,1,55,,
625,1,41,20.73756218,1,1,,,1,1,0,2,1,2,,,,,,,,,,,,,,,,,,,,,21097.5,4,4534,4631.374023,2,42195,3,9807,9807,1,95,0,1,75,,
626,1,31,22.60793114,1,,,,2,5,0,2,1,1,5000,4,1139,1145.203979,2,,,,,,,,,,,,,,,,21097.5,1,5249,,2,42195,4,11426,11554.28223,1,60,1,0,50,,
627,1,26,26.0479641,,,,,2,5,0,2,2,2,,,,,,10000,2,2815,2795.673584,2,,,,,,16090,3,4668,4668,2,21097.5,3,6285,6285,2,,,,,,39,1,1,30,,
628,1,54,23.56902504,,,,,3,7,0,2,3,1,5000,3,1290,1290,2,,,,,,,,,,,16090,3,4514,4514,2,,,,,,,,,,,105,1,1,77,,
629,1,35,23.88125992,,,,,2,3,0,2,3,1,5000,2,1353,1312.875366,1,10000,3,2702,2702,1,,,,,,,,,,,21097.5,3,6600,6600,1,,,,,,30.70000076,1,1,24.79999924,,
630,1,24,22.2178154,,,,,1,2,0,2,2,1,5000,3,1080,1080,2,10000,3,2235,2235,1,,,,,,,,,,,,,,,,,,,,,37,0,1,30,,
631,1,54,24.21719933,,,,,2,3,1,2,3,1,5000,3,1698,1698.000122,2,10000,3,3623,3623,2,,,,,,,,,,,,,,,,,,,,,21,0,0,18,,
632,1,41,27.45825768,1,1,1,1,2,5,0,2,1,2,5000,2,1440,1394.635742,3,,,,,,,,,,,,,,,,21097.5,4,5700,5854.750977,2,42195,2,13400,13336.19434,2,22,1,1,50,,
633,1,27,27.22624207,,,,,3,7,0,1,1,1,5000,2,1063,1038.073975,2,,,,,,,,,,,,,,,,21097.5,4,5029,5149.077637,1,42195,5,11051,,1,56,1,1,47,,
634,1,40,20.62209892,1,,,,1,2,1,2,2,1,,,,,,10000,3,2684,2684,1,,,,,,16090,5,4299,,1,,,,,,42195,2,12549,12493.02344,1,105,1,1,87,,
635,1,31,47.18464661,1,,1,,1,2,1,2,2,1,5000,4,1801,1816.560913,1,10000,2,4548,4497.765625,2,,,,,,,,,,,,,,,,42195,3,22680,22680,4,55,0,0,30,,
636,1,28,20.20103264,1,1,1,1,2,3,0,2,2,1,,,,,,10000,3,2065,2065,2,,,,,,,,,,,21097.5,2,4470,4438.40625,2,42195,4,9483,9571.195313,2,92,1,1,70,,
637,1,37,24.04452515,1,1,,,1,2,0,2,3,1,,,,,,,,,,,,,,,,,,,,,21097.5,2,5060,5019.553223,2,42195,2,10480,10440.93164,1,60,0,1,50,184.68927,
638,1,35,23.66053009,1,,1,,2,4,0,2,3,2,,,,,,10000,3,2308,2308,2,,,,,,16090,3,3868,3868,2,,,,,,42195,2,10467,10428.02832,1,65,0,1,48,190.1299896,190.7173462
639,1,16,17.557827,,,,,1,2,0,2,2,1,5000,4,1131,1137.116943,1,,,,,,8045,2,1900,1852.334839,3,,,,,,21097.5,4,5654,5806.22998,3,,,,,,43,0,1,40,,
640,1,32,19.34570503,1,1,1,1,1,1,0,1,1,1,5000,4,869,872.6066895,2,,,,,,,,,,,,,,,,21097.5,4,3848,3917.910156,1,42195,4,8152,8217.089844,1,110,1,1,100,,
641,1,30,23.74768066,1,1,,,2,4,0,2,3,2,,,,,,,,,,,,,,,,,,,,,21097.5,2,4668,4633.556152,1,42195,3,10136,10136,1,90,1,1,80,164.4043427,
642,1,21,26.42683792,,,,,2,5,0,1,1,1,5000,3,1334,1334,2,,,,,,,,,,,,,,,,21097.5,3,6756,6756,2,,,,,,23,0,0,16,,
643,1,27,23.90596962,,,,,2,3,0,2,2,1,,,,,,10000,4,2853,2917.991699,3,,,,,,,,,,,21097.5,3,6137,6137,2,,,,,,20,0,0,16,,
644,1,49,19.79558945,1,1,1,1,3,7,1,2,2,1,,,,,,,,,,,8045,2,2167,2105.215088,2,,,,,,21097.5,3,5935,5935,2,42195,2,12858,12799.23926,1,47,1,1,40,,
645,1,44,22.32523155,1,1,1,1,2,4,1,1,2,1,,,,,,,,,,,,,,,,16090,3,5603,5603,2,21097.5,2,7230,7147.704102,2,42195,2,16973,16870.75977,2,43,1,1,25,,
646,1,47,21.19005013,,,,,2,3,1,1,3,1,,,,,,10000,4,3266,3351.45166,2,,,,,,,,,,,21097.5,3,7376,7376,2,42195,1,20544,,2,40,1,1,35,,272.8575134
647,1,26,20.77485466,,,,,4,10,0,2,1,1,5000,4,900,903.8691406,2,,,,,,,,,,,16090,4,3035,3114.792725,1,21097.5,4,4017,4093.246582,1,,,,,,105,1,1,90,,
648,1,21,21.38561058,,,,,2,5,0,1,1,2,,,,,,10000,4,2401,2446.864258,2,,,,,,,,,,,21097.5,4,5398,5536.588379,2,,,,,,40,1,1,34,,
649,1,23,23.5923233,,,,,2,5,1,2,2,2,,,,,,,,,,,,,,,,16090,3,5989,5989,2,21097.5,2,7883,7785.267578,2,,,,,,26,0,0,18,,
650,1,38,22.01950264,,,,,2,4,1,2,1,3,,,,,,10000,3,2824,2824,2,8045,4,2219,2318.101318,2,,,,,,21097.5,2,6355,6291.330566,2,,,,,,55,1,1,40,,
651,1,19,21.78099442,,,,,2,5,0,2,2,2,5000,3,1031,1031,1,10000,4,2218,2257.082275,1,,,,,,,,,,,,,,,,,,,,,38,1,0,30,,
652,1,48,25.53605843,,,,,3,7,0,2,1,1,5000,3,1371,1371,2,10000,3,2896,2896,1,,,,,,,,,,,21097.5,2,6370,6306.03125,1,,,,,,42,1,1,35,,
653,1,27,25.04382706,,,,,2,3,1,2,2,1,5000,4,1649,1662.035522,2,,,,,,,,,,,,,,,,21097.5,3,8110,8110,2,,,,,,34,1,1,28,,
654,1,25,22.62626266,,,,,2,5,0,2,1,1,5000,3,988,988.000061,3,,,,,,,,,,,,,,,,21097.5,2,4740,4704.489258,2,,,,,,55,0,1,45,,
655,1,54,23.00556564,1,,1,,1,1,0,2,3,1,5000,3,1121,1121,1,10000,3,2318,2318,1,,,,,,,,,,,,,,,,42195,3,11580,11580,1,70,0,0,50,188.9568024,196.8910065
656,1,32,21.91380501,,,,,2,3,0,1,1,1,5000,4,1564,1575.721558,2,10000,3,3314,3314,2,,,,,,,,,,,,,,,,,,,,,15,0,0,12,,
657,1,31,23.84500694,,,,,1,1,1,2,2,1,5000,4,1980,1998.823853,2,10000,3,3902,3902,1,,,,,,,,,,,,,,,,,,,,,21,1,1,15,,
658,1,30,20.47117615,1,,1,,2,4,0,2,2,2,5000,3,930,930,2,10000,4,1840,1866.815918,2,,,,,,,,,,,,,,,,42195,4,8815,8891.158203,1,90,1,1,67,,
659,1,36,22.44668961,,,,,3,8,0,2,2,1,5000,4,990,994.6836548,2,,,,,,,,,,,,,,,,21097.5,2,4800,4763.588379,2,,,,,,50,1,1,40,,
660,1,52,22.14966202,1,1,1,1,1,2,0,2,2,1,5000,4,1175,1181.603516,1,,,,,,,,,,,,,,,,21097.5,3,5461,5461,1,42195,2,11541,11493.6377,1,56,1,1,50,,
661,1,28,22.26345062,1,1,,,1,2,0,1,2,2,,,,,,,,,,,,,,,,,,,,,21097.5,3,5580,5580,2,42195,2,12150,12097.51855,2,65,1,1,40,,
662,1,31,24.52615929,1,1,1,1,2,3,1,2,1,1,5000,3,1371,1371,2,,,,,,,,,,,,,,,,21097.5,4,6420,6616.990723,2,42195,4,13879,14068.7334,2,55,0,1,45,,
663,1,45,21.0636425,1,1,1,1,1,2,0,2,2,1,,,,,,10000,2,2380,2366.17041,1,,,,,,,,,,,21097.5,4,5179,5306.438477,2,42195,2,11807,11757.43457,1,90,1,1,75,,
664,1,32,24.53601456,,,,,2,4,1,2,2,2,5000,4,1695,1708.776123,2,,,,,,,,,,,,,,,,21097.5,3,8215,8215,2,,,,,,22,0,1,15,,
665,1,46,20.65626717,1,1,1,1,2,4,1,2,2,1,5000,4,1240,1247.356567,2,,,,,,,,,,,,,,,,21097.5,3,5615,5615,1,42195,2,12600,12543.56934,1,60,1,0,55,,
666,1,29,23.08238602,1,1,,,2,4,1,2,2,1,,,,,,,,,,,,,,,,,,,,,21097.5,4,5902,6068.07373,1,42195,3,13162,13162,2,60,1,1,40,,
667,1,43,23.97016907,,,,,1,2,1,2,1,1,5000,4,1666,1679.306885,1,10000,2,3764,3729.526367,3,,,,,,,,,,,21097.5,4,8240,8567.359375,1,,,,,,25,0,1,20,,
668,1,39,23.80480194,1,,,,1,2,0,2,1,1,,,,,,10000,3,2427,2427,1,,,,,,,,,,,,,,,,42195,2,11606,11558.10449,1,50,0,1,45,,
669,1,44,24.56541252,1,1,,,1,2,0,2,1,1,,,,,,,,,,,,,,,,,,,,,21097.5,4,4350,4439.552734,2,42195,2,9300,9269.220703,2,65,1,1,60,,
670,1,29,23.84960938,,,,,2,3,1,2,3,1,,,,,,,,,,,,,,,,16090,2,6000,5777.914063,2,21097.5,3,7620,7620,2,,,,,,24,0,1,15,,
671,1,34,22.72727203,,,,,1,2,1,1,3,2,5000,3,1560,1560,2,,,,,,,,,,,,,,,,21097.5,2,6660,6590.105957,2,,,,,,25,0,1,20,,
672,1,25,19.76519966,,,,,1,1,0,2,1,1,,,,,,,,,,,,,,,,16090,3,3860,3860.000244,2,21097.5,3,5029,5029,1,,,,,,32,1,1,30,,
673,1,31,21.38923454,,,,,3,7,1,2,2,2,5000,4,1162,1168.457764,2,,,,,,,,,,,,,,,,21097.5,3,5678,5678,2,42195,5,12218,,2,60,1,1,50,,
674,1,39,27.89029694,,,,,1,2,0,2,1,2,5000,3,1516,1516,2,,,,,,,,,,,,,,,,21097.5,4,7268,7521.495117,2,,,,,,15,0,0,11,,
675,1,46,34.39236832,1,,1,,2,4,1,2,3,1,5000,4,1327,1335.428711,2,,,,,,8045,2,2100,2041.925293,2,,,,,,,,,,,42195,4,12423,12574.79492,1,62,1,1,55,205.1420288,233.0968933
676,1,24,21.30414772,,,,,2,4,1,2,3,1,5000,3,1583,1583,4,10000,3,3185,3185,3,,,,,,,,,,,21097.5,5,6588,,2,,,,,,23,0,0,15,,
677,1,30,23.67722511,,,,,3,8,0,2,2,1,,,,,,10000,3,1945,1945.000122,2,,,,,,,,,,,21097.5,2,5532,5483.690918,2,,,,,,20,1,1,15,,
678,1,35,20.13211632,,,,,1,2,1,1,3,1,5000,3,1234,1234,2,10000,4,2538,2589.303467,2,,,,,,,,,,,21097.5,4,5734,5890.628418,2,,,,,,70,1,1,63,,
679,1,33,25.52073479,1,1,1,1,2,5,0,2,1,3,,,,,,10000,3,3234,3234,2,,,,,,,,,,,21097.5,2,7378,7292.320801,2,42195,2,20714,20561.92578,3,15,0,1,10,,
680,1,57,22.79490089,,,,,1,1,0,3,1,1,5000,3,1381,1381,2,10000,3,2876,2876,2,,,,,,,,,,,,,,,,42195,1,21600,,2,35,1,1,25,,
681,1,29,23.08238602,,,,,2,5,0,2,3,1,5000,2,1560,1506.899536,2,,,,,,,,,,,,,,,,21097.5,2,8501,8387.453125,2,,,,,,31,0,0,15,,
682,1,30,23.37472534,1,1,1,1,2,3,0,2,1,1,5000,3,1106,1106,1,,,,,,,,,,,,,,,,21097.5,4,5256,5387.303711,1,42195,4,11332,11458.16895,1,59,0,1,53,,
683,1,36,27.99622345,,,,,2,3,0,1,2,2,,,,,,10000,2,3180,3155.358887,3,,,,,,,,,,,21097.5,2,7320,7235.654785,2,,,,,,23,0,0,18,,
684,1,49,24.1929512,,,,,2,4,0,2,2,1,5000,2,1758,1690.854858,2,10000,2,3900,3863.002197,2,,,,,,,,,,,,,,,,,,,,,12,0,0,10,,
685,1,37,21.83592224,1,1,,,2,3,0,2,1,1,,,,,,,,,,,,,,,,,,,,,21097.5,4,6197,6380.348145,2,42195,4,14640,14851.26855,2,45,1,1,40,,
686,1,22,31.45643044,,,,,2,3,1,2,2,3,5000,3,1920,1920,3,,,,,,,,,,,,,,,,21097.5,3,10800,10800,4,,,,,,15,1,0,15,,
687,1,29,28.65964699,,,,,2,3,0,2,1,3,,,,,,10000,4,3905,4027.789063,3,,,,,,,,,,,21097.5,3,6853,6853,3,,,,,,33,0,0,20,,
688,1,19,23.80480194,,,,,3,6,0,2,1,1,5000,4,983,987.6174927,1,,,,,,,,,,,,,,,,21097.5,4,4874,4986.706543,1,,,,,,65,1,1,45,,
689,1,37,25.92195129,,,,,1,2,0,2,1,1,,,,,,10000,4,3510,3608.890137,2,,,,,,,,,,,21097.5,4,8280,8610.609375,1,,,,,,25,0,0,21,,
690,1,31,32.5569725,1,1,,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,21097.5,3,8160,8160.000488,2,42195,2,18600,18477.28906,2,32,0,1,25,,
691,1,32,26.11717224,1,1,1,1,2,4,0,1,3,2,5000,2,1259,1224.185303,2,,,,,,,,,,,,,,,,21097.5,3,5580,5580,2,42195,4,8950,9028.518555,2,36,0,0,30,210.2281799,207.5325623
692,1,43,32.96857834,,,,,2,3,0,2,3,1,,,,,,10000,2,3732,3698.107178,4,8045,4,3066,3258.47583,3,,,,,,,,,,,,,,,,16,0,0,7,,
693,1,32,20.44668007,,,,,2,3,1,2,1,2,5000,3,1534,1534,2,,,,,,,,,,,,,,,,21097.5,3,7081,7081,2,,,,,,30,0,1,27,,
694,1,34,25.74573708,1,,1,,1,1,1,2,3,2,,,,,,10000,2,3660,3627.396729,2,,,,,,16090,4,5356,5609.599121,2,,,,,,42195,2,18005,17889.99219,2,45,0,0,35,269.1983643,292.6531067
695,1,31,26.6554451,,,,,1,2,0,1,3,1,5000,3,1170,1170,3,10000,3,2475,2475,3,,,,,,,,,,,21097.5,4,5130,5255.009277,1,,,,,,50,1,0,40,,
696,1,34,22.33406639,,,,,3,6,0,1,2,2,,,,,,10000,3,2465,2465,2,,,,,,,,,,,21097.5,3,6030,6030,2,,,,,,22,1,0,18,,
697,1,24,20.58569527,,,,,2,5,0,1,1,1,5000,4,1426,1435.737915,1,,,,,,8045,4,2573,2707.198975,1,16090,2,5284,5110.991699,1,,,,,,,,,,,29.45000076,0,0,20,,
698,1,47,24.37068939,,,,,1,2,1,2,3,1,5000,4,2165,2187.525879,4,,,,,,8045,3,2928,2928,3,,,,,,,,,,,,,,,,18,0,0,10,,
699,1,38,27.12304497,1,1,1,1,1,1,0,2,3,1,5000,3,1860,1860,2,,,,,,,,,,,,,,,,21097.5,3,8280,8280,2,42195,4,17878,18194.06641,2,42,0,0,30,296.8009033,308.7870483
700,1,41,25.97402573,,,,,2,3,1,2,3,2,5000,3,1812,1811.999878,2,,,,,,8045,2,2955,2841.289551,1,,,,,,,,,,,,,,,,21,1,0,14,,
701,1,18,20.24406624,,,,,2,3,1,2,1,2,5000,2,1548,1495.699463,2,,,,,,8045,4,2657,2800.348633,3,,,,,,,,,,,,,,,,20,1,1,18,,
702,1,20,21.23309135,1,,,,2,3,0,1,3,3,5000,3,1230,1230,2,,,,,,,,,,,,,,,,,,,,,42195,2,12910,12850.76465,2,35,0,0,30,215.6139832,
703,1,22,20.62209892,,,,,2,4,0,2,1,3,5000,4,1003,1007.807739,2,,,,,,8045,3,1700,1700.000122,2,,,,,,,,,,,,,,,,50,1,1,45,,
704,1,43,21.49959755,,,,,2,3,1,2,2,1,5000,3,1426,1426,1,,,,,,8045,4,2318,2426.357178,1,,,,,,21097.5,2,6636,6566.606445,1,,,,,,16,1,0,30,,
705,1,23,19.17613602,1,,,,4,9,1,2,2,3,5000,4,1350,1358.724365,2,,,,,,,,,,,,,,,,,,,,,42195,3,15276,15276,4,45,0,0,25,,
706,1,40,25.25252724,,,,,1,2,0,2,2,1,5000,3,1410,1410,2,10000,4,2910,2977.645264,2,,,,,,,,,,,21097.5,3,6690,6690,2,,,,,,13,1,1,25,,
707,1,25,21.04377174,1,,1,,2,4,0,2,2,1,5000,2,1050,1025.672974,2,10000,4,2218,2257.082275,2,,,,,,,,,,,,,,,,42195,2,11703,11654.30273,2,51,1,1,43,,
708,1,39,25.35754395,,,,,2,5,0,2,3,1,5000,4,1158,1164.41333,2,,,,,,,,,,,,,,,,21097.5,3,5423,5423,2,,,,,,37,0,1,33,,
709,1,50,27.45825768,,,,,2,3,0,2,3,1,,,,,,10000,4,2880,2946.241699,4,,,,,,16090,1,5400,,3,21097.5,3,6900,6900,3,,,,,,17,0,1,15,,
710,1,47,24.09060478,1,1,1,1,2,3,0,1,2,1,5000,3,1250,1250,1,,,,,,,,,,,,,,,,21097.5,4,5860,6023.685547,1,42195,3,13170,13170,1,70,0,1,45,,
711,1,25,23.14814949,,,,,2,3,0,2,1,1,5000,4,1454,1464.125366,2,,,,,,8045,4,2721,2871.533203,2,,,,,,,,,,,,,,,,25,1,0,15,,
712,1,35,21.640728,,,,,3,8,0,2,3,1,5000,3,1251,1251,1,10000,3,2757,2757,1,,,,,,,,,,,,,,,,,,,,,40,1,0,28,,
713,1,31,25.96887398,,,,,1,2,0,2,3,3,5000,4,1436,1445.875366,4,10000,2,2651,2633.853027,2,8045,4,2400,2516.351318,3,,,,,,,,,,,,,,,,21,1,1,16,,
714,1,44,21.43887711,,,,,2,3,1,2,1,2,5000,4,1361,1369.867676,2,,,,,,8045,1,2551,,2,,,,,,21097.5,2,6660,6590.105957,1,,,,,,35,1,1,30,,
715,1,30,27.54821014,1,1,1,1,2,3,0,2,1,1,5000,4,1072,1077.493774,1,,,,,,,,,,,,,,,,21097.5,2,4860,4822.675781,1,42195,2,11505,11457.93262,1,72,1,0,55,,
716,1,28,21.17267418,1,1,1,1,2,4,1,1,2,2,5000,4,1500,1510.778687,1,,,,,,,,,,,,,,,,21097.5,2,7352,7266.919922,2,42195,2,18600,18477.28906,2,30,0,1,25,,
717,1,33,23.74768066,,,,,3,7,0,1,3,2,,,,,,,,,,,,,,,,16090,4,4440,4612.874023,2,21097.5,4,5723,5879.019531,2,,,,,,55,1,1,50,,
